question,answer
Do uremic toxins adsorbed by AST-120 promote tubular hypertrophy and interstitial fibrosis in nephrectomized rats?,"Administration of AST-120 minimized the appearance of proximal tubular hypertrophy and interstitial fibrosis, and subsequently prevented the occurrence of proteinuria and decreased renal function. The present study indicates that uremic toxins adsorbed by AST-120 promote tubular hypertrophy and interstitial fibrosis in nephrectomized rats."
Is migraine associated with magnetic resonance imaging white matter abnormalities : a meta-analysis?,This meta-analysis demonstrates that subjects with migraine are at higher risk of having WMAs on magnetic resonance images than those without migraine. This increased risk is present even in younger individuals who do not have co-occurring cerebrovascular disease risk factors. Prospective studies are needed to determine whether the increased risk of stroke in migraine is mediated or foreshadowed by the presence of WMAs.
Is hippocampal and prefrontal atrophy in patients with early non-demented Parkinson 's disease related to cognitive impairment?,"Non-medicated, non-demented patients with early stage PD show hippocampal and prefrontal atrophy. Impaired memory is related to hippocampal atrophy, whereas sustained attention is related to prefrontal atrophy."
Do professionalism deficiencies in a first-quarter doctor-patient relationship course predict poor clinical performance in medical school?,Professionalism deficiencies that result in the inability of the student to establish patient rapport are detectable early and predict problems in future clinical performance.
Does local lymph node involvement predict poor outcome in pediatric renal cell carcinoma?,"Children with lymph node-positive RCC in the absence of distant metastatic disease had a relatively favorable long-term prognosis, with survival rate nearly triple those of adult historical controls. Until highly effective therapies for RCC are identified, these children should not be exposed to adjuvant treatment. Further investigation of the biologic differences between adult and pediatric RCC is warranted."
Does virgin olive oil reduce blood pressure in hypertensive elderly subjects?,"Dietary VOO proved to be helpful in reducing the systolic pressure of treated HT elderly subjects. However, a greater resistance to the lowering effect of VOO of total and LDL-cholesterol and a greater susceptibility to TG oxidation was detected in these patients."
Are plasma levels of amyloid beta-protein 42 increased in women with mild cognitive impairment?,The elevation of Abeta42 plasma levels in women with MCI may represent a biologic explanation for the sex-dependent increased incidence of late-onset AD in women identified by epidemiologic studies.
Is the VAD-DCEP sequence an effective pre-transplant therapy in untreated multiple myeloma?,"the VAD-DCEP sequence has an adequate mobilizing capacity, without significant toxicity, and a good anti-myeloma activity, and therefore represents a safe and effective therapeutic approach for multiple myeloma patients at the onset of their disease."
Does diosgenin induce cell cycle arrest and apoptosis in human leukemia K562 cells with the disruption of Ca2+ homeostasis?,"Diosgenin inhibits K562 cell proliferation via cell cycle G2/M arrest and apoptosis, with disruption of Ca2+ homeostasis and mitochondrial dysfunction playing vital roles."
Does cerebellar stroke impair temporal but not spatial accuracy during implicit motor learning?,"During implicit motor learning, the cerebellum appears to participate in the formation of predictive strategies for the timing of motor responses, rather than for the accuracy of motor execution. Because deficits were found in the contralesional upper extremity, the authors suggest that this function is not lateralized to 1 hemisphere; cerebellar output may affect the formation of an internal model for timing movements in both upper extremities."
Does implicit strategy affect learning in children with heavy prenatal alcohol exposure?,"The finding of spared retention of verbal information on the CVLT-C in our earlier studies may be related to test characteristics of the CVLT-C rather than a finding of spared verbal retention per se, given that spared retention was not found on a separate test of verbal learning and memory without an implicit learning strategy. These results suggest that the use of an implicit strategy positively affected the ability of alcohol-exposed children to learn and retain new verbal information."
Is type D personality associated with increased anxiety and depressive symptoms in patients with an implantable cardioverter defibrillator and their partners?,"Partners experienced similar levels of depression but higher levels of anxiety compared with ICD patients. Personality was an important explanatory factor of distress in both ICD patients and their partners. Research is now warranted to investigate the implications of this finding for the clinical course of ICD patients, as Type D personality has been associated with adverse prognosis in patients with coronary artery disease."
Is c-reactive protein associated with psychological risk factors of cardiovascular disease in apparently healthy adults?,"Greater anger and severity of depressive symptoms, separately and in combination with hostility, were significantly associated with elevations in CRP in apparently healthy men and women. These associations were independent of potential confounding factors."
Does a polymorphic variation in the interleukin 1A gene increase brain microglial cell activity in Alzheimer 's disease?,"Polymorphisms within IL-1A influence the degree of brain microglial cell activation, especially in bearers of APOE epsilon4 allele, reinforcing the importance of neuroinflammatory processes in the pathogenesis of AD, and supporting the rationale for treating the disease with inflammation modulating drugs."
Is induction and function of CYR61 ( CCN1 ) in prostatic stromal and epithelial cells : CYR61 required for prostatic cell proliferation?,"In this study, we demonstrate that serum growth factors induce the CYR61 gene in both stromal and epithelial cells, and that CYR61 plays functional roles in cell adhesion, morphology, and proliferation, supporting its involvement in benign prostatic enlargement. These results strongly suggest that CYR61 is a key molecule, and therefore could be a potential therapeutic target in prostatic hyperplastic growth."
Does right prosubiculum amyloid plaque density correlate with anosognosia in Alzheimer 's disease?,Increased SP density in the right PRO region suggests that selective pathological involvement of this area contributes to awareness deficits in Alzheimer's disease. The putative role of the PRO in self appraisal may reflect its interconnections with other medial temporal and prefrontal regions.
Does the combination oral and nutritional treatment of late-onset diabetes mellitus ( CONTROL DM ) trial result?,Brachial artery endothelial function was not influenced by short-term improvements in glycaemic control. The CONTROL DM group was successful in lowering A1C. Future research should explore more intensive and longer-lasting improvements in glycaemic control on endothelial function. Some data previously published in abstract form (Diabetes 2001; 50 (Suppl. 2): A217).
Is follicular blood flow a better predictor of the outcome of in vitro fertilization-embryo transfer than follicular fluid vascular endothelial growth factor and nitric oxide concentrations?,Our study showed that follicular blood flow was positively associated with the outcome of pregnancy. This is the first study to investigate the direct association of the follicular blood flow with pregnancy outcome after IVF-ET. These results suggest that follicular blood flow might be a more effective prognostic marker of the pregnancy outcome of IVF than follicular fluid VEGF or NO concentrations.
Is the placental immunomodulatory cytokine regeneration and tolerance factor also expressed by both human cycling and early pregnant endometrium?,These results indicate that RTF is constitutively expressed at endometrial and decidual level and its up-regulation during the secretory phase of the cycle may be relevant in mediating some immune-related aspects of uterine physiology.
Is overcommitment to work associated with changes in cardiac sympathetic regulation?,Overcommitment to work was associated with an increase in basal sympathetic drive and a reduction in the dynamic range of cardiac sympathetic regulation. Both findings are compatible with the hypothesis that overcommitment induces beta-receptor down-regulation.
Is dynamic contrast-enhanced magnetic resonance imaging ( DCE-MRI ) a useful modality for the precise detection and staging of early prostate cancer?,"DCE-MRI can identify early stage Cap with high sensitivity and specificity, and can predict the histological grade to some extent. DCE-MRI prior to biopsy should be applied to younger patients with surgical indications. Otherwise, we recommend the definitive diagnosis of Cap by utilizing DCE-MRI alone."
Does the influence of age on prognosis of de novo acute myeloid leukemia differ according to cytogenetic subgroups?,"(i) Both age and cytogenetics are independent prognostic parameters in AML;(ii) up to the age of 49 years age has no major impact on prognosis while the karyotype has; (iii) in patients 50 years and older the influence of age on outcome increases, and (iv) cytogenetics show an independent effect on survival also in patients over 60 years old."
Are hIV-infected US youth at high risk of obesity and poor diet quality : a challenge for improving short- and long-term health outcomes?,"Obesity is a common nutrition problem for both HIV-infected and uninfected youth; however, HIV-infected youth are at increased risk of developing metabolic abnormalities. Culturally appropriate, client-focused nutrition education will help youth improve their diet and increase physical activity to reduce health consequences associated with both obesity and HIV infection."
"Is histologic grade , but not SYT-SSX fusion type , an important prognostic factor in patients with synovial sarcoma : a multicenter , retrospective analysis?","For patients with localized SS, histologic grade but not SYT-SSX fusion type is a strong predictor of survival."
Are intact progesterone receptors essential to counteract the proliferative effect of estradiol in a genetically engineered mouse model of endometriosis?,"Intact PR in ectopic uterine tissue is essential to abolish E(2)-dependent or -independent proliferation. We also suggest that ectopic uterine tissue is associated with significantly increased resistance to P action and increased predisposition to E(2)-dependent proliferation in the absence of PR. Overall, these findings support the hypothesis that P resistance in human endometriosis may be due to the absence of sufficient levels of functional PR in this tissue."
Does endobronchial ultrasonography using a guide sheath increase the ability to diagnose peripheral pulmonary lesions endoscopically?,"EBUS-GS is a useful method for collecting samples from peripheral pulmonary lesions, even those too small to be visualized under fluoroscopy."
Are uK patients with primary Sjögren 's syndrome at increased risk from clinical depression?,Patients with 1 degrees SS appear to be at increased risk from clinical depression. Early recognition and appropriate intervention is therefore essential to reduce the negative impact of depression on the patient's quality of life and outcome of their disease.
Does clinical pathway care improve outcomes among patients hospitalized for community-acquired pneumonia?,Patients who were placed on pneumonia clinical pathway care were much more likely than non-pathway patients to have favorable outcomes of care.
Does autocrine over expression of fibronectin by human transitional carcinoma cells impair bacillus Calmette-Guerin adherence and signaling?,We propose that by saturating cellular and BCG receptors excess FN expression decreases the ability of cellular or mycobacterial bound FN to bind vacant receptors on BCG or on the cell. Excess FN inhibits BCG adherence and BCG initiated signal transduction.
Do prostate cancer detection on urinalysis for alpha methylacyl coenzyme a racemase protein?,"We report the feasibility of a novel, noninvasive, nonprostate specific antigen based molecular approach to detect prostate cancer in voided urine. To our knowledge this is the first report of AMACR protein detection in the urine of patients with prostate cancer. A screening test based on urinary AMACR may develop into a useful adjunct to serum prostate specific antigen and digital rectal examination for identifying men at increased risk for harboring prostate cancer despite negative biopsy. Such a test has potential application for stratifying patients into low and high risk groups for surveillance vs repeat biopsy."
Do androgen receptor levels in prostate cancer epithelial and peritumoral stromal cells identify non-organ confined disease?,"These findings suggest that AR is an important determinant of disease relapse in early stage prostate cancer, and that altered AR levels in the malignant epithelial cells or in the peritumoral stroma is indicative of non-organ confined prostate cancer."
Does psychological support counselling improve gluten-free diet compliance in coeliac patients with affective disorders?,In coeliac disease patients with affective disorders psychological support seems to be able to reduce depression and to increase gluten-free diet compliance.
Is ability to perform activities of daily living the main factor affecting quality of life in patients with dementia?,Dependency upon others to perform ADL was the main factor affecting HRQoL.
Do activation of Erk and JNK MAPK pathways by acute swim stress in rat brain regions?,"Swim stress specifically and markedly enhanced the phosphorylation of the MAPKKs P-MEK1/2 and P-MKK4 in all brain regions tested without apparent alteration in the phosphorylation of P-MKK3/6. Curiously, phosphorylation of their cognate substrates (Erk and JNK) was increased to a much more modest extent, and in some brain regions was not altered. Similarly, there was a region-specific discrepancy between Erk and CREB phosphorylation. Possible explanations for these findings and comparison with the effects of restraint stress will be discussed."
Does restoration of fibroblast growth factor receptor2 suppress growth and tumorigenicity of malignant human prostate carcinoma PC-3 cells?,"The results indicate that restoration of FGFR2IIIb to the malignant human prostate epithelial cell prototype PC-3 restores properties associated with nonmalignant tumors and normal cells. This further suggests that epithelial cell resident, homeostasis-promoting FGFR2 may be involved in suppression of malignancy and that restoration may be a candidate for gene therapy of hormone-refractory prostate cancer."
Are thoracic epidural local anesthetics ineffective in alleviating post-thoracotomy ipsilateral shoulder pain?,"It is concluded that post-thoracotomy shoulder pain is a common problem, and the previously mentioned variables did not predict its appearance. Thoracic epidural block is effective in the treatment of incision but not shoulder pain. The NSAID indomethacin suppository was found to be effective for that problem."
Do cARD15/NOD2 single nucleotide polymorphisms confer susceptibility to type I psoriasis?,The most complete assessment of CARD15 SNPs in type I psoriasis to date reveals no evidence of association to type I psoriasis.
Are structural abnormalities similar in familial and nonfamilial mesial temporal lobe epilepsy?,"Anterior temporal lobe atrophy and other abnormalities outside the mesial portion of temporal lobes were infrequent in both familial and nonfamilial MTLE patients. Despite the genetic basis, hippocampal atrophy in FMTLE is not associated with other abnormalities outside the mesial temporal regions."
Are tAU mutations a predominant cause of frontotemporal dementia in Canadian patients?,Our results agree with previous work suggesting that mutations in this gene are not a frequent cause of the frontotemporal dementia phenotype in Canadian patients.
Is survivin an independent prognostic marker for risk stratification of breast cancer patients?,"Survivin demonstrates a strong, independent, association with poor prognosis. Survivin might be used as a new marker to stratify breast cancer patients for more optimal treatment modalities, or it could be a promising new target for therapy."
Is 2-Fluoro-2-deoxy-D-glucose positron emission tomography imaging predictive of pathologic response and survival after preoperative chemoradiation in patients with esophageal carcinoma?,Post-CRT FDG-PET was found to be predictive of pathologic response and survival in patients with esophageal carcinoma who undergo preoperative CRT. Esophagectomy should still be considered even if the post-CRT FDG-PET scan is normal because microscopic residual disease cannot be ruled out.
Is activator protein 1 DNA binding activity decreased in lesional psoriatic skin compared with nonlesional psoriatic skin?,"Together, these results suggest that the activity of the transcription factor AP-1 is impaired in lesional psoriatic skin and that this impairment may be important for the disturbed epidermal growth observed in psoriasis."
Is polymorphism within the glutathione S-transferase P1 gene associated with increased susceptibility to childhood malignant diseases?,Our results support the hypothesis that GST genotype affects etiology and outcome of a variety of childhood malignancies.
Is evidence-based care for alcohol use disorders affordable?,"Evidence-based care for alcohol use disorders would produce greater population health gain at an increased cost for alcohol dependence but at a reduced cost for harmful use of alcohol. For both disorders, there are substantial increases in cost-effectiveness."
Does cDNA array-CGH profiling identify genomic alterations specific to stage and MYCN-amplification in neuroblastoma?,cDNA A-CGH analysis is an efficient method for the detection and characterization of amplicons. Furthermore we were able to detect single copy number changes using our probabilistic approach and identified genomic alterations specific to stage and MYCN amplification.
Does voxel-based morphometry reveal gray matter network atrophy in refractory medial temporal lobe epilepsy?,"Patients with MTLE exhibit a reduction in GMC in regions outside the temporal lobe, specifically in areas that are connected to the hippocampus and parahippocampal region, suggesting an anatomical route for atrophy."
Do another look at heavy episodic drinking and alcohol use disorders among college and noncollege youth?,Heavy episodic drinking and alcohol use disorders are youth as well as college phenomena. Prevention campaigns targeted at all youth are needed to supplement interventions conducted at the campus level.
Does psychosocial and lifestyle correlate of premenstrual symptoms among military women?,"Work stress may mediate the relationship among depression and premenstrual symptoms. Further research is needed to elucidate the biological interrelationships among work stress, hormonal function, and premenstrual symptomatology."
Are oestrogen deficiency and growth hormone treatment in childhood associated with hearing in adults with turner syndrome?,"Current regimens of oestrogen and GH therapy have no impact on adult hearing loss in TS, independent of age. The prevalence of SNHL increases with age. CHL but not SNHL is associated with ENT history and karyotype. According to present evidence, the only possible intervention to reduce hearing loss in women with TS remains assiduous treatment of ENT problems in childhood."
Is bladder neck invasion an independent predictor of prostate-specific antigen recurrence?,"In the current study, bladder neck involvement was an independent predictor of early PSA recurrence. The data demonstrated the importance of continued assessment of bladder neck invasion and supported the placement of tumors with bladder neck involvement in a stage that recognizes the prognostic implications of such involvement."
Is regulation of glucose transporter expression in cardiac myocytes : p38 MAPK a strong inducer of GLUT4?,"Spontaneous dedifferentiation of adult rat cardiomyocytes in vitro is associated with downregulation of GLUT4, which can be reversed by treatment with IGF-1. The effect of IGF-1 is mediated by the p38 MAPK/MEF2 axis, which is a strong inducer of GLUT4 expression."
Does procedure for unmasking localization information from ProstaScint scan for prostate radiation therapy treatment planning?,"ProstaScint images are now closer to becoming a biologically and therapeutically useful and accurate image set. After known sources of normal intensity are stripped away, the remaining areas that demonstrate uptake may be segmented and superimposed on the treatment-planning CT/MRI volume."
Does n-3 polyunsaturated fatty acids supplementation decrease asymmetric dimethyl arginine and arachidonate accumulation in aging spontaneously hypertensive rats?,EPA and DHA supplementation reduced ADMA accumulation in SHR in parallel with a decrease of arachidonate availability. This finding suggests that the control of the inflammatory ground of endothelium might play an important role in EPA and DHA effect on this novel and highly predictive cardiovascular risk factor.
Does ambulatory monitoring predict development of drug-treated hypertension in subjects with high normal blood pressure?,We conclude that ABPM correctly predicts development of drug-treated hypertension in most subjects who were identified early as having a daytime mean ABP >135/85 mmHg. ABPM appears to be a useful clinical tool in the early diagnosis of hypertension in subjects with metabolic risk factors and smoking.
Does oral Polypodium leucotomos extract decrease ultraviolet-induced damage of human skin?,Oral administration of PL is an effective systemic chemophotoprotective agent leading to significant protection of skin against UV radiation.
Do low levels of estrogen receptor beta protein predict resistance to tamoxifen therapy in breast cancer?,"These findings provide evidence that ER-beta may be an independent predictor of response to tamoxifen in breast cancer. Furthermore, these results suggest that ER-beta may influence tumor progression in ways different from those mediated by the ER-alpha isoform."
Does association of cholesterol with stroke risk vary in stroke subtypes and patient subgroups?,"Higher total and lower HDL cholesterol levels were associated with increased risk of ischemic stroke, especially certain stroke subtypes and patient subgroups. The lowest levels of total cholesterol were associated with an increased risk of all hemorrhagic strokes."
Does optical coherence tomography detect characteristic retinal nerve fiber layer thickness corresponding to band atrophy of the optic discs?,The degree of RNFL thickness reduction correlated with that of visual field defects. Optical coherence tomography was able to identify the characteristic pattern of RNFL loss in these eyes.
Are markers of inflammation in patients with coronary artery disease also associated with glycosylated haemoglobin A1c within the normal range?,"In subjects with known coronary atherosclerosis, low-degree inflammatory activity is not only increased in diabetic patients, but also increased with increasing HbA(1c) in non-diabetic individuals with HbA(1c) within the normal range, i.e., at a pre-diabetic level of glucose metabolism derangement."
Is sMAC expressed de novo in a subset of cervical cancer tumors?,"Smac is expressed de novo in a subset of cervical cancer patients, reflecting a possible heterogeneity in the pathways leading to cervical cancer. There was no correlation with any clinical variable."
Is vasopressin administered with epinephrine associated with a return of a pulse in out-of-hospital cardiac arrest?,There is an association between using vasopressin in combination with epinephrine and restoration of circulation after out-of-hospital cardiac arrest.
Does two-year statin therapy alter the progression of intima-media thickness in patients with type 2 diabetes without manifest cardiovascular disease?,"There was no effect of 2 years' statin therapy on carotid IMT in type 2 diabetic subjects. The natural history of IMT in our patients was milder than anticipated. In contrast, we observed a significantly lower cardiovascular event rate on statin therapy. Prognostic tools other than IMT should be explored in this patient group."
Is heat shock protein-27 upregulated in the temporal cortex of patients with epilepsy?,"These results demonstrate that HSP-27 becomes induced in response to epileptic pathology. Although the functional aspects of HSP-27 induction during human epilepsy have yet to be elucidated, it can be concluded that HSP-27 is a marker for cortical regions in which a stress response has been caused by seizures."
Is igG4-subclass of glutamic acid decarboxylase antibody more frequent in latent autoimmune diabetes in adults than in type 1 diabetes?,"The difference in GADA IgG-subclasses could indicate a different immune response, possibly an altered balance between T(h)1 and T(h)2 cytokine profile in pancreatic islets. This difference could contribute to the slower rate of beta cell destruction in LADA patients, as reflected by a higher C-peptide level at clinical onset."
Does innate immune system play a critical role in determining the progression and severity of acetaminophen hepatotoxicity?,"NK and NKT cells play a critical role in the progression of APAP-induced liver injury by secreting IFN-gamma, modulating chemokine production and accumulation of neutrophils, and up-regulating FasL expression in the liver, all of which may promote the inflammatory response of liver innate immune system, thus contributing to the severity and progression of liver injury downstream of the metabolism of APAP and depletion of reduced glutathione (GSH) in hepatocytes."
"Are matrix metalloproteinase-9 ( MMP-9 ) , MMP-2 , and serum elastase activity associated with systolic hypertension and arterial stiffness?","Aortic stiffness is related to MMP-9 levels and SEA, not only in ISH, but also in younger, apparently healthy individuals. This suggests that elastases including MMP-9 may be involved in the process of arterial stiffening and development of ISH. The relationship between arterial stiffness and elastase activity was examined in isolated systolic hypertension (ISH), and separately in a large cohort of healthy individuals. Aortic stiffness is related to MMP-9, not only in ISH, but also in healthy individuals, suggesting elastases may be involved in the process of arterial stiffening and the development of ISH."
Is cerebral oxygen desaturation associated with early postoperative neuropsychological dysfunction in patients undergoing cardiac surgery?,"Intraoperative cerebral oxygen desaturation is associated with early postoperative neuropsychological dysfunction in patients undergoing cardiac surgery with cardiopulmonary bypass. However, it remains to be determined whether interventions to maintain adequate cerebral oxygenation may improve neuropsychological outcome."
Does [ Two-tier screening process ( TEOAE/AABR ) reduce recall rates in newborn hearing screening ]?,"A two-tier screening process as described is able to reduce recall rate, overall expenses and parental anxiety."
Does drugs and fall in older people in geriatric care settings?,"Like functional and cognitive impairment, treatments with antidepressants and neuroleptics are predisposing factors for falls in older people in residential care. However, there seem to be differences between subgroups among these drugs and, from the perspective of fall prevention, SNRIs rather than SSRIs should perhaps be preferred in the treatment of depression in older people."
Does aquaporin-4 gene disruption in mice protect against impaired retinal function and cell death after ischemia?,"AQP4 deletion in mice is neuroprotective in a transient ischemia model of retinal injury, suggesting the possible use of AQP4 inhibitors in retinal vascular occlusive and ischemic diseases."
Does coronary blood flow assessment after successful angioplasty for acute myocardial infarction predict the risk of long-term cardiac events?,"The CFV pattern appears to be an accurate predictor of long-term cardiac events in patients having undergone successful reopening of the IRA after AMI, identifying a subset of at-risk patients."
Do n100 auditory potential and electroencephalogram discriminate propofol-induced sedation levels?,"Our findings suggest that the combined use of EEG and N100 may help to differentiate the propofol-induced sedation levels, and thus be a useful compliment to clinical sedation scales."
Is increased tidal volume variability in children a better marker of opioid-induced respiratory depression than decreased respiratory rate?,TV(var) increases as children approach opioid-induced respiratory depression. This is a more useful predictor of respiratory depression than a fall in respiratory rate because the TV(var) increase is 10 times the drop in respiratory rate. A TV(var) increase also correctly predicts respiratory depression twice as often as decreased respiratory rate and is independent of age-related alterations in physiologic respiratory rates.
Do [ Construction and identification of anti-chymopapain scFv phage display library ]?,"Phage display library of anti-chymopapain scFv was successfully constructed, and scFv with binding ability to chymopapain was obtained."
Do hypotensive extremely low birth weight infants have reduced cerebral blood flow?,In ELBW infants (1) cerebral autoregulation is functional in normotensive but not hypotensive infants; (2) a breakpoint exists at approximately 30 mm Hg in the CBF-MAP autoregulation curve; and (3) dopamine improves both MAP and CBF.
Is immune reconstitution after childhood acute lymphoblastic leukemia most severely affected in the high risk group?,"This study shows that immune reconstitution after childhood ALL is slower than previously reported and emphasizes the influence of treatment intensity. The most intensively treated patients still have persistent abnormalities in T-, B-, and NK-cell subsets at 6 months post therapy and show a poor response to immunization with T-cell dependent antigens. In the HR group, routine re-immunizations before this time point are of limited benefit, and the effect of repeated vaccinations should be evaluated."
Does secondary ultrasound examination increase the sensitivity of the FAST exam in blunt trauma?,A secondary ultrasound of the abdomen significantly increases the sensitivity of ultrasound to detect intra-abdominal injury.
Does cXCL8 modulate human intestinal epithelial cells through a CXCR1 dependent pathway?,CXCL8 exerts functional effects on intestinal epithelial cells that may be relevant for intestinal inflammation and mucosal healing.
Are gadolinium contrast media more nephrotoxic than a low osmolar iodine medium employing doses with equal X-ray attenuation in renal arteriography : an experimental study in pigs?,"In pigs, 0.5 M Gd-CM were more nephrotoxic than both equal-attenuating (70 mg I/mL) and equimolar (190 mg I/mL) concentrations of the I-CM iohexol. These results do not support the ""off-label"" use of Gd-CM for renal x-ray arteriography in man instead of commercially available concentrations of iodine contrast media at 140, 150 and 180 mg I/mL or diluted to 70 mg I/mL."
Does gene expression profiling reveal novel TGFbeta targets in adult lung fibroblasts?,"This study identifies several novel TGFbeta targets in lung fibroblasts, and confirms with independent methods the induction of angiotensin II receptor type 1, underlining a potential role for angiotensin II receptor 1 antagonism in the treatment of lung fibrosis."
"Is ara h 8 , a Bet v 1-homologous allergen from peanut , a major allergen in patients with combined birch pollen and peanut allergy?",Peanut allergy might be mediated in a subgroup of our patients by means of cross-reaction of Bet v 1 with the homologous peanut allergen Ara h 8.
Do glucocorticoids upregulate FOXP3 expression and regulatory T cells in asthma?,These findings demonstrate that glucocorticoid treatment is not only immunosuppressive and anti-inflammatory but also promotes or initiates differentiation toward T R 1 cells by a FOXP3-dependent mechanism. Strategies that convert transient glucocorticoid-induced T reg activity into a stable phenotype might improve allergy and asthma therapy.
Is meat consumption positively associated with psychomotor outcome in children up to 24 months of age?,"Meat intake, possibly via its effect on protein intake, is associated with increased weight gain in infants up to 12 months of age. Meat intake is also positively associated with psychomotor development at 22 months. These findings highlight the need for further investigation of the role of complementary foods in relation to health outcomes."
Is maternal recreational physical activity associated with plasma leptin concentrations in early pregnancy?,Our findings are consistent with other reports suggesting an independent inverse relationship between habitual physical activity and leptin concentrations. Our findings extend the literature to include pregnant women.
Does magnetic source imaging support clinical decision making in glioma patients?,Magnetic source imaging (MSI) proved to be a valuable help in the clinical decision making process of lesions adjacent to functional important brain areas. The relative high number of patients in whom MSI warns of the postoperative crippling sequelae may lead to a better selection of patients who benefit from resective surgery. This method may help to find the patients for whom conservative treatment seems to be more favourable concerning quality of life in the surviving time.
Do improvement of visual acuity in eyes with diabetic macular edema after treatment with pars plana vitrectomy?,"PPV almost always results in a reduction and often complete disappearance of DME as evidenced by ophthalmoscopy and fluorescein-angiography. Most importantly, central visual acuity often increases, sometimes to a very large extent with dramatic improvement in quality of life of the patients."
Is a distinct multicytokine profile associated with anti-cyclical citrullinated peptide antibodies in patients with early untreated inflammatory arthritis?,Early untreated inflammatory arthritis can be categorized into distinct subgroups based on cytokine profiles. These subgroups are associated with CCP and RF autoantibodies. Integration of cytokine profiles with autoantibody status may assist prognostication and treatment decisions in these patients.
Does increased noncanonical splicing of autoantigen transcripts provide the structural basis for expression of untolerized epitopes?,"These studies suggest that noncanonical alternative splicing may be an important mechanism for the generation of untolerized epitopes that may lead to autoimmunity. Furthermore, the product of a transcript that does not undergo alternative splicing is unlikely to be a target antigen in autoimmunity."
Are standard equations accurate in assessing resting energy expenditure in patients with amyotrophic lateral sclerosis?,"We found that standard equations used to calculate energy expenditure were not valid for patients with ALS. Moreover, the majority of our patients were either overfed or underfed. As underfeeding can cause diaphragm impairment, and overfeeding can increase ventilatory load, indirect calorimetry should be considered in ALS patients to determine optimal caloric requirement."
Does cellular HIV-1 DNA load predict HIV-RNA rebound and the outcome of highly active antiretroviral therapy?,Low cellular HIV-1 DNA load is a marker of sustained virological response in patients with initial VR and it can reliably predict the long-term success of HAART.
Do social-psychological correlates of peer victimization in children with endocrine disorders?,Recognition of the magnitude of the problem and means of evaluating for peer victimization is important for clinicians who see children with chronic diseases.
Do trait anger and the metabolic syndrome predict progression of carotid atherosclerosis in healthy middle-aged women?,"Anger predicts progression of carotid atherosclerosis, and the metabolic syndrome may mediate this association. Women who experience angry feelings frequently may benefit from interventions aimed at reducing anger and reducing the metabolic syndrome components early in the natural history of atherosclerosis."
Does a novel mutation in the ELOVL4 gene cause autosomal dominant Stargardt-like macular dystrophy?,"In a European family with adSTGD-like MD, a novel ELOVL4 mutation was found to underlie the disorder. Transfection studies indicated that, unlike wild-type ELOVL4, the mutant protein does not localize to the ER but rather appears to be sequestered elsewhere in an aggregated pattern in the cytoplasm. Further analysis of the function of normal and mutant ELOVL4 will provide insight into the mechanism of macular degeneration."
Do cochlear implant surgery at 12 months of age or younger?,"In our experience, cochlear implant surgery is safe in children aged 7 to 12 months with appropriate anesthetic and postoperative support. The small incision technique is particularly suited to this age group. Ligature fixation of the device is considered advisable because of the increased risk of displacement from frequent falls when learning to walk."
Does a prospective cohort study to investigate risk factors for horse fall in UK hurdle and steeplechase racing?,Falls at fences are significant contributors to equine fatalities during NH racing. Potentially modifiable risk factors identified were the condition of track surfaces and journey time to the racecourse.
Are menisci efficiently transduced by recombinant adeno-associated virus vectors in vitro and in vivo?,The data suggest that recombinant adeno-associated virus vectors can directly and efficiently transfer and stably express foreign genes in isolated lapine and human meniscal cells in vitro and in lapine meniscal defects in vivo.
Is pre-transplant inosine monophosphate dehydrogenase activity associated with clinical outcome after renal transplantation?,Patients with low IMPDH activity experienced more complications of MMF therapy. High pre-transplant IMPDH activity and MMF dose reductions were associated with rejection. Determination of IMPDH activity prior to transplantation may help to improve MMF therapy after renal transplantation.
Does nutrition intervention improve outcomes in patients with cancer cachexia receiving chemotherapy -- a pilot study?,Nutrition intervention together with chemotherapy improved outcomes in patients with pancreatic and non-small-cell lung cancer over 8 weeks. Supplement intake does not inhibit meal intake.
Are chromosomal abnormalities related to location and grade of osteoarthritis?,FISH analysis showed the presence of numerical chromosomal abnormalities in the articular cartilage of patients with OA.
"Does homocysteine-lowering treatment with folic acid , cobalamin , and pyridoxine reduce blood markers of inflammation , endothelial dysfunction , or hypercoagulability in patients with previous transient ischemic attack or stroke : a randomized substudy of the VITATOPS trial?","Lowering tHcy by 3.7 micromol/L with folic acid-based multivitamin therapy does not significantly reduce blood concentrations of the biomarkers of inflammation, endothelial dysfunction, or hypercoagulability measured in our study. The possible explanations for our findings are: (1) these biomarkers are not sensitive to the effects of lowering tHcy (eg, multiple risk factor interventions may be required); (2) elevated tHcy causes cardiovascular disease by mechanisms other than the biomarkers measured; or (3) elevated tHcy is a noncausal marker of increased vascular risk."
Do disability and service use among homeless people living with psychotic disorders?,"Despite high levels of contact with a well-organized, sectorized mental health service in an affluent country, this pocket of several hundred people had high levels of persisting disability and needs. The literature and local experience suggest that changing this situation is likely to require co-ordinated policy and practice between the health, welfare and housing sectors."
